badge_id,sort_order,category,category_slug,tier,tier_rank,filename,src,ui_title,ui_subtitle,proof_label,tagline_key
recovery-silver,32,Recovery,recovery,silver,2,xionid-badge-recovery-silver.webp,/badges/sport/xionid-badge-recovery-silver.webp,Recovery Rhythm Builder,Consistent recovery habits,Recovery rhythm proof,badges.recovery.silver
recovery-gold,33,Recovery,recovery,gold,3,xionid-badge-recovery-gold.webp,/badges/sport/xionid-badge-recovery-gold.webp,Regeneration Signal,Clear recovery and regeneration signal,Regeneration proof,badges.recovery.gold
recovery-diamond,34,Recovery,recovery,diamond,4,xionid-badge-recovery-diamond.webp,/badges/sport/xionid-badge-recovery-diamond.webp,Recovery Discipline Proof,Strong verified recovery discipline,Recovery discipline proof,badges.recovery.diamond
recovery-elite,35,Recovery,recovery,elite,5,xionid-badge-recovery-elite.webp,/badges/sport/xionid-badge-recovery-elite.webp,Recovery Lifestyle Ambassador,Top-tier recovery identity,Recovery ambassador proof,badges.recovery.elite
wellness-bronze,36,Wellness,wellness,bronze,1,xionid-badge-wellness-bronze.webp,/badges/sport/xionid-badge-wellness-bronze.webp,Wellness Lifestyle Starter,Entry-level wellness-focused lifestyle,Wellness starter proof,badges.wellness.bronze
wellness-silver,37,Wellness,wellness,silver,2,xionid-badge-wellness-silver.webp,/badges/sport/xionid-badge-wellness-silver.webp,Wellness Habit Builder,Consistent wellness habits,Wellness habit proof,badges.wellness.silver
wellness-gold,38,Wellness,wellness,gold,3,xionid-badge-wellness-gold.webp,/badges/sport/xionid-badge-wellness-gold.webp,Wellness Rhythm Signal,Clear wellness and longevity rhythm,Wellness rhythm proof,badges.wellness.gold
wellness-diamond,39,Wellness,wellness,diamond,4,xionid-badge-wellness-diamond.webp,/badges/sport/xionid-badge-wellness-diamond.webp,Wellness Discipline Proof,Strong verified wellness discipline,Wellness discipline proof,badges.wellness.diamond
wellness-elite,40,Wellness,wellness,elite,5,xionid-badge-wellness-elite.webp,/badges/sport/xionid-badge-wellness-elite.webp,Wellness Lifestyle Ambassador,Top-tier wellness identity,Wellness ambassador proof,badges.wellness.elite
gear-bronze,41,Gear,gear,bronze,1,xionid-badge-gear-bronze.webp,/badges/sport/xionid-badge-gear-bronze.webp,Gear Lifestyle Starter,Entry-level sports gear lifestyle,Gear starter proof,badges.gear.bronze
gear-silver,42,Gear,gear,silver,2,xionid-badge-gear-silver.webp,/badges/sport/xionid-badge-gear-silver.webp,Smart Gear Builder,Consistent engagement with performance gear,Smart gear proof,badges.gear.silver
gear-gold,43,Gear,gear,gold,3,xionid-badge-gear-gold.webp,/badges/sport/xionid-badge-gear-gold.webp,Performance Gear Signal,Clear performance gear identity,Performance gear proof,badges.gear.gold
gear-diamond,44,Gear,gear,diamond,4,xionid-badge-gear-diamond.webp,/badges/sport/xionid-badge-gear-diamond.webp,Trusted Gear Proof,Strong verified gear lifestyle proof,Trusted gear proof,badges.gear.diamond
gear-elite,45,Gear,gear,elite,5,xionid-badge-gear-elite.webp,/badges/sport/xionid-badge-gear-elite.webp,Gear Lifestyle Ambassador,Top-tier sports gear lifestyle identity,Gear ambassador proof,badges.gear.elite
supplements-bronze,46,Supplements,supplements,bronze,1,xionid-badge-supplements-bronze.webp,/badges/sport/xionid-badge-supplements-bronze.webp,Supplement Lifestyle Starter,Entry-level supplement/recovery stack lifestyle,Supplement starter proof,badges.supplements.bronze
supplements-silver,47,Supplements,supplements,silver,2,xionid-badge-supplements-silver.webp,/badges/sport/xionid-badge-supplements-silver.webp,Recovery Stack Builder,Consistent supplement/recovery stack habit,Recovery stack proof,badges.supplements.silver
supplements-gold,48,Supplements,supplements,gold,3,xionid-badge-supplements-gold.webp,/badges/sport/xionid-badge-supplements-gold.webp,Clean Fuel Signal,Clear supplementation and fuel signal,Clean fuel proof,badges.supplements.gold
supplements-diamond,49,Supplements,supplements,diamond,4,xionid-badge-supplements-diamond.webp,/badges/sport/xionid-badge-supplements-diamond.webp,Supplement Discipline Proof,Strong verified supplement discipline,Supplement discipline proof,badges.supplements.diamond
supplements-elite,50,Supplements,supplements,elite,5,xionid-badge-supplements-elite.webp,/badges/sport/xionid-badge-supplements-elite.webp,Supplement Lifestyle Ambassador,Top-tier supplement/recovery stack identity,Supplement ambassador proof,badges.supplements.elite
